0;1;2;3;4;5;6;7;8;9
Kos Andalan;Campur;Kost Almuntaha Tipe Duluxe Mampang Prapatan Jakarta Selatan;Kecamatan Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;5.0;Rp3.500.000;/bulan;;
Kos Andalan;Campur;Kost Triloka Mansion Tipe C Pancoran Jakarta Selatan;Pancoran;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Rp2.650.000;/bulan;;;
Kos Andalan;Campur;Kost Nabils Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur;Rp1.700.000;/bulan;;;
Kos Andalan;Putra;Kost Nur 53 AC Mampang Prapatan Jakarta Selatan;Kecamatan Mampang Prapatan;WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;4.6;Rp1.500.000;/bulan;;
Kos Andalan;Campur;Kost 88 Group Tipe A Pancoran Jakarta Selatan;Kecamatan Pancoran;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Rp1.800.000;/bulan;;;
Kos Andalan;Campur;Kost Triloka Mansion Tipe B Pancoran Jakarta Selatan;Pancoran;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;4.0;Rp2.840.000;/bulan;;
Kos Andalan;Putri;Kost Happy Family Tipe A Mampang Prapatan Jakarta Selatan;Kecamatan Mampang Prapatan;K. Mandi Dalam ·WiFi ·Kloset Duduk ·Kasur ·Akses 24 Jam;5.0;Rp1.300.000;/bulan;;
Kos Andalan;Campur;Kost Bapak Fikri Tipe B Pancoran Jakarta Selatan;Pancoran;K. Mandi Dalam ·WiFi ·Kasur;1.6;Rp850.000;/bulan;;
Kos Andalan;Campur;Kost Bapak Fikri Tipe A Pancoran Jakarta Selatan;Pancoran;K. Mandi Dalam ·WiFi ·Kasur;Rp750.000;/bulan;;;
Kos Andalan;Putri;Kost Ani 3 Pancoran Jakarta Selatan;Kecamatan Pancoran;K. Mandi Dalam ·WiFi ·AC ·Kasur ·Akses 24 Jam;Rp1.500.000;/bulan;;;
Kos Andalan;Campur;Kost Samidi Jalan Bangka Mampang Prapatan Jakarta Selatan;Mampang Prapatan;Kloset Duduk ·Kasur;Rp1.100.000;/bulan;;;
Kos Andalan;Campur;Kost Da 7 Tipe C Mampang Prapatan Jakarta Selatan;Kecamatan Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur;Rp2.700.000;/bulan;;;
Kos Andalan;Putri;Kost Sky Residence Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Rp2.495.000;/bulan;;;
Kos Andalan;Putri;Kost Arraihan Mampang Prapatan Jakarta Selatan;Kecamatan Mampang Prapatan;Kasur ·Akses 24 Jam;Rp800.000;/bulan;;;
Kos Andalan;Campur;Kost Bangka Raya Tipe A Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Rp2.350.000;/bulan;;;
