Nama_Kos,Fasilitas,Harga
"Kost 12 Tipe 2 Pancoran Jakarta Selatan
Kecamatan Pancoran",K Mandi Dalam AC Kasur,Rp1.400.000
"Kost 101 Residence Double Cilandak Jakarta Selatan
Cilandak",K Mandi Dalam WiFi AC Kloset Duduk Kasur Akses 24 Jam,Rp2.700.000
"Kost Pondok VIP Mampang Prapatan Jakarta Selatan
Kecamatan Mampang Prapatan",K Mandi Dalam WiFi AC Kloset Duduk Kasur Akses 24 Jam,Rp2.000.000
"Kost Kebalen 1 Type B Kebayoran baru Jakarta selatan
Kebayoran Baru",K Mandi Dalam Kloset Duduk Kasur Akses 24 Jam,Rp1.100.000
"Kost Ani 3 Pancoran Jakarta Selatan
Kecamatan Pancoran",K Mandi Dalam WiFi AC Kasur Akses 24 Jam,Rp1.400.000
"Kost Zulkarnain Pancoran Jakarta Selatan
Pancoran",K Mandi Dalam Kasur,Rp1.200.000
"Kost Paulinas Homestay Tipe A Mampang Prapatan Jakarta Selatan
Kecamatan Mampang Prapatan",K Mandi Dalam WiFi AC Kloset Duduk Kasur Akses 24 Jam,Rp1.800.000
"Kost Arraihan Mampang Prapatan Jakarta Selatan
Kecamatan Mampang Prapatan",Kasur Akses 24 Jam,Rp800.000
"Kost Young Tipe B Pancoran Jakarta Selatan
Kecamatan Pancoran",K Mandi Dalam WiFi AC Kloset Duduk Kasur,Rp1.850.000
"Kost Omah Tentrem Wijaya Tipe Single Bed Kebayoran Baru Jakarta Selatan
Kebayoran Baru",K Mandi Dalam WiFi AC Kloset Duduk Kasur,Rp2.900.000
"Kost Ibu Ida RW Pancoran Jakarta Selatan
Kecamatan Pancoran",Kloset Duduk Kasur Akses 24 Jam,Rp900.000
"Kost Pa Yudi 1 Mampang Prapatan Jakarta Selatan
Kecamatan Mampang Prapatan",K Mandi Dalam WiFi AC Kloset Duduk Akses 24 Jam,Rp1.600.000
"Kost Bangka Raya Tipe A Mampang Prapatan Jakarta Selatan
Mampang Prapatan",K Mandi Dalam WiFi AC Kloset Duduk Kasur Akses 24 Jam,Rp2.350.000
"Kost Mp Prapatan Mpok Iyah Mampang Prapatan Jakarta Selatan
Mampang Prapatan",K Mandi Dalam Kloset Duduk,Rp800.000
"Kost Kapten Tendean Mampang Prapatan Jakarta Selatan
Mampang Prapatan",K Mandi Dalam WiFi AC Kloset Duduk Kasur Akses 24 Jam,Rp1.900.000
"Kost Haji Ayyub Tipe B Mampang Prapatan Jakarta Selatan
Kecamatan Mampang Prapatan",K Mandi Dalam WiFi AC Kasur,Rp1.300.000
